Data,USD_BRL,SCFI_Geral,SCFI_America_Sul
2026-06-19 12:21:36,5.31,2137.4,2121.1
2026-06-26 12:21:36,5.51,1991.4,2051.1
2026-07-03 12:21:36,5.39,2053.6,2287.6
2026-07-10 12:21:36,5.47,2128.7,2283.9
2026-07-17 12:21:36,5.49,1985.3,2253.8
2026-07-24 12:21:36,5.48,2088.4,2198.8
2026-07-31 12:21:36,5.28,2040.7,2290.0
2026-08-07 12:21:36,5.3,2018.1,2070.5
2026-08-14 12:21:36,5.34,2034.5,2255.0
2026-08-21 12:21:36,5.53,2077.0,2220.0
2026-08-28 12:21:36,5.53,2100.1,2227.2
2026-09-04 12:21:36,5.26,2047.1,2194.9
